goodreads_book_id,authors,original_publication_year,original_title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
6185,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,3.82,46469,84084,215320,309180,346082
10917,Jodi Picoult,2004.0,My Sister's Keeper,4.06,17547,42763,162573,314003,350994
4981,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,24964,45518,152442,300948,367890
18405,Margaret Mitchell,1936.0,Gone with the Wind,4.28,19996,33136,116160,234290,493721
128029,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,6509,18015,99030,295817,446694
22628,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,14286,38658,143440,297501,461020
11735983,Veronica Roth,2012.0,Insurgent,4.07,10641,44620,182131,339977,369969
375802,Orson Scott Card,1985.0,Ender's Game,4.3,15330,27612,103439,264207,462829
18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",3.75,29366,74142,231022,300495,248538
11588,Stephen King,1977.0,The Shining,4.17,18487,28981,123862,277393,382158
1656001,Stephenie Meyer,2008.0,The Host,3.84,44215,62501,154906,227180,288758
99561,John Green,2005.0,Looking for Alaska,4.09,16940,44232,147324,262932,359857
227443,Helen Fielding,1996.0,,3.75,28973,59309,198555,254836,212825
14935,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,4.06,18430,34699,141987,272512,311754
38709,"Louis Sachar, Louis Sachar",1998.0,Holes,3.93,15495,43786,176946,269153,259257
5139,Lauren Weisberger,2003.0,The Devil Wears Prada,3.7,24231,58323,192366,226675,178250
1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,3.73,29703,65629,183082,224120,208223
157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,4.28,15039,32866,114714,228440,468227
7445,Jeannette Walls,2005.0,The Glass Castle,4.24,7901,18922,85191,227750,298102
1845,Jon Krakauer,1996.0,Into the Wild,3.94,19229,35567,135199,248287,227095
1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,3.81,28904,55555,153305,216378,223571
7677,Michael Crichton,1990.0,Jurassic Park,3.96,15736,34222,138327,231583,230615
370493,Shel Silverstein,1964.0,The Giving Tree,4.38,15345,20408,76071,167542,428921
32542,John Grisham,1989.0,A Time to Kill,4.03,12106,25938,122675,218617,229488
1617,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,4.3,7761,18539,90575,230227,360777
6442769,John Green,2008.0,Paper Towns,3.88,14105,47183,154479,223895,215609
21787,William Goldman,1973.0,The Princess Bride,4.25,12883,21641,89236,196047,338235
231804,S.E. Hinton,1967.0,The Outsiders,4.06,10178,34346,134244,227250,274419
6186357,James Dashner,2009.0,The Maze Runner,4.02,15291,43370,150488,266698,302109
1202,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,14586,26538,115789,216316,176072
2998,Frances Hodgson Burnett,1911.0,The Secret Garden,4.12,8005,25207,129646,243821,285570
320,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,4.04,27340,37646,87675,155809,267197
5297,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,4.06,9825,30735,129420,246892,257679
13536860,E.L. James,2012.0,Fifty Shades Freed,3.88,39079,55691,109963,140304,265079
17245,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,3.98,11756,36719,151396,246043,243825
5060378,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,4.22,4623,15781,91021,258236,279592
11857408,E.L. James,2011.0,Fifty Shades Darker,3.87,37245,58935,114203,150906,262051
7244,Barbara Kingsolver,1998.0,The Poisonwood Bible,4.02,21699,33702,92590,175725,239071
4137,David Sedaris,2000.0,Me Talk Pretty One Day,3.97,19718,29034,93427,178021,194076
19543,Maurice Sendak,1963.0,Where the Wild Things Are,4.22,15392,27532,93700,167043,332394
7126,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,4.21,10381,22482,89980,183142,295235
6288,Cormac McCarthy,2006.0,The Road,3.95,20086,36561,100989,190823,207328
18710190,Veronica Roth,2013.0,Allegiant,3.63,31626,78366,176061,192785,184388
9418327,Tina Fey,2011.0,Bossypants,3.94,14842,31761,129390,230080,203187
3473,Nicholas Sparks,1999.0,A Walk to Remember,4.15,10640,24094,94327,169650,260870
9416,Sophie Kinsella,2000.0,Confessions of a Shopaholic,3.61,30705,56949,156636,166927,146787
24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,4.14,15225,25914,87461,167385,264147
10572,George R.R. Martin,1998.0,A Clash of Kings,4.4,1788,7104,56167,221706,320000
10441,Kim Edwards,2005.0,The Memory Keeper's Daughter,3.64,19453,47004,145437,183150,115538
15507958,Jojo Moyes,2012.0,Me Before You,4.27,10346,21880,91517,249474,367916
168668,Joseph Heller,1961.0,Catch-22,3.98,20639,37912,106269,186745,230950
6900,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,4.06,11507,30534,107446,194448,240462
2187,Jeffrey Eugenides,2002.0,Middlesex,3.98,19329,30503,89740,171099,197327
24583,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,3.89,12130,34349,143659,217896,186192
18131,Madeleine L'Engle,1962.0,A Wrinkle in Time,4.04,17313,34988,119115,209745,268933
7763,Amy Tan,1989.0,The Joy Luck Club,3.9,14802,30197,116748,195930,167566
38447,Margaret Atwood,1985.0,The Handmaid's Tale,4.06,13998,32561,116975,252942,267088
452306,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,3.75,14996,42396,152024,177404,149784
7604,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,3.88,21091,37205,108664,165477,185553
37442,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,3.52,40802,65835,132061,153583,133217
5358,John Grisham,1991.0,The Firm,3.99,5075,20119,111543,190966,160652
7937843,Emma Donoghue,2010.0,Room,4.03,11020,26079,99831,217995,201402
1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",4.0,10413,32697,121040,192937,219807
234225,Frank Herbert,1965.0,Dune,4.19,13354,22778,74206,154771,260867
2612,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,3.92,15111,25871,106453,189120,162511
11084145,Walter Isaacson,2011.0,Steve Jobs,4.09,19680,21986,88456,203975,245159
332613,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,4.18,5672,15978,78714,191622,222472
2165,Ernest Hemingway,1952.0,The Old Man and the Sea,3.73,28645,52583,136217,186747,170136
4395,John Steinbeck,1939.0,The Grapes of Wrath,3.92,23552,40261,103475,173589,212475
3431,Mitch Albom,2003.0,The Five People You Meet in Heaven,3.9,12360,33669,107800,155830,165040
8127,L.M. Montgomery,1908.0,Anne of Green Gables,4.23,8864,19531,80256,158725,265976
3777732,Cassandra Clare,2009.0,City of Glass,4.34,6646,17351,79202,179290,348071
62291,George R.R. Martin,2000.0,A Storm of Swords,4.54,1456,4820,36418,149268,335682
137791,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,3.79,15795,35314,120396,158451,140552
10964,Diana Gabaldon,1991.0,Outlander,4.2,20998,27673,73126,147085,309960
12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,3.37,34813,80444,182701,165079,96209
9460487,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,3.89,14920,45434,159227,234792,217849
6892870,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,4.2,3823,14773,78387,203297,226511
18007564,Andy Weir,2012.0,The Martian,4.39,4114,10856,49200,173861,291671
5043,Ken Follett,1989.0,The Pillars of the Earth,4.29,9248,16886,57825,148052,263882
18143977,Anthony Doerr,2014.0,,4.31,6209,14527,61020,185239,280832
8664353,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,10308,12874,47828,144203,313339
976,Dan Brown,2001.0,Deception Point,3.67,14380,45006,143182,160819,116346
17333223,Donna Tartt,2013.0,The Goldfinch,3.87,19164,35300,93459,153459,162465
1217100,Jay Asher,2007.0,Thirteen Reasons Why,4.02,15246,35668,105414,179197,235756
2865,Tracy Chevalier,1999.0,Girl with a Pearl Earring,3.85,11525,28287,123463,189656,139246
4374400,Gayle Forman,2009.0,If I Stay,3.96,12666,34896,122977,190793,205755
4989,Anita Diamant,1997.0,The Red Tent,4.16,9470,19616,67878,146178,206075
28186,Rick Riordan,2006.0,The Sea of Monsters,4.23,2967,13884,91127,188988,253546
5526,Nicholas Sparks,2006.0,Dear John,4.01,9683,25220,94711,145202,179965
1582996,Cassandra Clare,2008.0,City of Ashes,4.21,6135,20075,92626,192934,274238
8852,William Shakespeare,1606.0,The Tragedy of Macbeth,3.88,10551,35408,127354,183871,167642
15241,J.R.R. Tolkien,1954.0,The Two Towers,4.42,3013,10264,55433,156232,307267
42156,Emily Giffin,2004.0,Something Borrowed,3.83,16019,29297,104322,148507,137044
23772,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,4.29,6605,14530,66873,121751,251282
6310,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,4.1,6236,17193,94240,178216,198862
2120932,Rick Riordan,2008.0,The Battle of the Labyrinth,4.39,2435,8093,62108,172289,292783
2623,Charles Dickens,1860.0,Great Expectations,3.75,22811,44293,120385,170702,148996
18512,J.R.R. Tolkien,1955.0,The Return of the King,4.51,2691,8008,42693,132149,324996
49552,"Albert Camus, Matthew    Ward",1942.0,L’Étranger,3.96,10563,28920,100140,174957,169043
7736182,Rick Riordan,2010.0,The Lost Hero,4.35,5020,11267,58590,148498,266120
15745753,Rainbow Rowell,2013.0,Eleanor & Park,4.11,12904,26371,94470,196224,249784
13497,George R.R. Martin,2005.0,A Feast for Crows,4.1,3170,18574,94401,175973,189012
7735333,Ally Condie,2010.0,Matched,3.68,24343,53804,138030,165412,149091
4407,Neil Gaiman,2001.0,American Gods,4.11,9888,24944,83253,178346,221912
149267,"Stephen King, Bernie Wrightson",1978.0,The Stand,4.34,5647,13612,56722,134098,259874
6400090,Nicholas Sparks,2008.0,The Last Song,4.14,7253,17803,77712,140241,195420
11125,Dan Brown,1998.0,Digital Fortress,3.6,16592,47507,136196,144029,103179
6969,"Jane Austen, Fiona Stafford",1815.0,Emma,3.99,11386,25777,102144,178238,180404
15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Анна Каренина,4.02,11738,26945,88365,158179,187569
227463,Anthony Burgess,1962.0,A Clockwork Orange,3.98,14741,24244,84863,163488,167055
1812457,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,3.74,35734,42977,84751,111923,162907
4502507,Rick Riordan,2009.0,The Last Olympian,4.5,2098,6501,45208,133168,312535
18342,Stephen King,1986.0,It,4.18,8464,19610,75841,148672,226794
7144,"Fyodor Dostoyevsky, David McDuff",1866.0,Преступление и наказание,4.18,9477,20078,64050,137104,213966
6514,Sylvia Plath,1963.0,The Bell Jar,3.98,8266,23983,92408,162216,155284
252577,Frank McCourt,1996.0,Angela's Ashes: A Memoir,4.07,7657,18327,73550,155775,164437
52036,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,3.99,10229,25529,83698,138837,160360
168642,Truman Capote,1965.0,In Cold Blood,4.05,10639,17836,70857,144616,157891
6304335,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,3.76,19917,43525,113352,132492,149232
7171637,Cassandra Clare,2010.0,Clockwork Angel,4.33,8364,15544,61409,140928,289514
39988,"Roald Dahl, Quentin Blake",1988.0,Matilda,4.29,4277,10823,64536,152003,231852
9361589,Erin Morgenstern,2011.0,The Night Circus,4.03,11349,28650,84254,159596,190977
37470,Philippa Gregory,2001.0,The Other Boleyn Girl,4.04,5311,16716,78620,153807,144769
24770,Scott Westerfeld,2005.0,Uglies,3.86,15531,34808,106086,151540,156624
10664113,George R.R. Martin,2011.0,A Dance with Dragons,4.31,2399,10150,53744,147136,211189
33,J.R.R. Tolkien,1955.0,The Lord of the Rings,4.47,4807,9577,37552,106818,277592
12262741,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail ,3.96,8344,22137,85489,165482,139451
472331,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,4.35,6349,11732,44847,116877,229518
186074,Patrick Rothfuss,2007.0,The Name of the Wind,4.55,5605,8582,28480,95470,311235
3228917,Malcolm Gladwell,2008.0,Outliers: The Story of Success,4.11,4494,12545,62510,148978,140599
153747,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale",3.46,35983,52601,103625,102432,103322
2728527,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,4.12,7190,17250,68942,155107,175183
5759,Chuck Palahniuk,1996.0,Fight Club,4.2,4578,12632,58110,139554,173780
301082,Charlaine Harris,2001.0,Dead Until Dark,3.96,11330,25781,96290,148326,163097
11486,Alice Walker,1982.0,The Color Purple,4.17,6298,14477,62380,140835,176975
12691,John Grogan,2005.0,Marley & Me: Life and Love with the World's Worst Dog,4.12,5485,14940,68532,131536,158855
16299,Agatha Christie,1939.0,Ten Little Niggers,4.23,6134,12476,66243,156306,215521
6411961,Dan Brown,2009.0,The Lost Symbol,3.66,11293,40545,120122,136545,96477
6339664,Becca Fitzpatrick,2009.0,"Hush, Hush",4.0,19338,33543,82544,120204,206173
11505797,Jamie McGuire,2011.0,Beautiful Disaster,4.15,17185,23298,61993,115123,225097
5326,Charles Dickens,1843.0,A Christmas Carol,4.02,6737,21415,93906,153823,165515
43763,Anne Rice,1976.0,Interview with the Vampire,3.97,7519,22377,84804,137659,141582
10507293,Kiera Cass,2012.0,The Selection,4.15,13841,25349,83692,158716,257493
6853,Janet Evanovich,1994.0,One for the Money,4.03,9176,19657,80319,133454,160709
6493208,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,4.04,10782,18237,70339,151226,153856
23807,Thomas Harris,1988.0,The Silence of the Lambs,4.14,10268,12845,55427,123652,163920
345627,Richelle Mead,2007.0,,4.14,12535,22043,73357,129382,217834
40102,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,3.89,6804,20128,85934,139947,107525
6867,Ian McEwan,2001.0,Atonement,3.88,11473,25462,77135,134788,116800
485894,"Franz Kafka, Stanley Corngold",1915.0,Die Verwandlung,3.78,15430,33226,98774,146297,120806
561456,Rick Riordan,2007.0,The Titan's Curse,4.33,1863,7934,65220,162371,248874
9969571,Ernest Cline,2011.0,,4.31,5150,12928,48285,134107,221349
3153910,Garth Stein,2006.0,The Art of Racing in the Rain,4.19,4808,13901,53780,118166,163664
21996,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",3.98,6687,18709,69012,135360,120839
13572249,Sylvia Day,2012.0,Bared to You,4.19,9867,18983,55554,104657,197075
11127,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,4.24,3772,12192,59975,133056,192681
3609760,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,4.23,6862,11019,48008,67939,158071
60748,Dave Pelzer,1995.0,"A Child Called ""It"": One Child's Courage to Survive",4.08,7819,16453,57341,98786,140899
7869,Robert Ludlum,1980.0,The Bourne Identity,3.98,10266,17695,65161,118463,124627
249747,Eoin Colfer,2001.0,Artemis Fowl,3.82,14473,30894,94950,129607,129241
6487308,Lauren Kate,2009.0,Fallen,3.74,23594,41578,94145,107149,141642
4406,John Steinbeck,1952.0,East of Eden  ,4.35,4183,9409,39153,96741,187196
5886881,Gillian Flynn,2009.0,Dark Places,3.92,5169,17975,89242,165108,109113
5359,John Grisham,1993.0,The Client,3.97,2530,12566,79176,129019,102372
228333,"Emma McLaughlin, Nicola Kraus",2002.0,The Nanny Diaries,3.4,17006,43014,116021,95951,56081
24213,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland,4.06,5294,17482,76985,127906,149523
2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,4.13,6688,15653,71218,133222,175578
556602,Tatiana de Rosnay,2007.0,Elle s'appelait Sarah,4.14,3865,12684,55760,134748,140574
43615,Stephen King,1982.0,The Gunslinger,3.99,9958,24111,72736,112895,146677
9712,"Gabriel García Márquez, Edith Grossman",1985.0,El amor en los tiempos del cólera,3.89,11450,23825,65668,110544,111974
439288,Laurie Halse Anderson,1999.0,Speak,4.0,7770,21049,76503,125660,141422
17802724,Liane Moriarty,2013.0,The Husband's Secret ,3.92,4175,15649,80869,155945,95167
1898,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mt. Everest Disaster,4.11,8041,10286,46060,112601,124605
10592,Stephen King,1974.0,Carrie,3.93,4564,19479,96352,136054,121201
242006,Augusten Burroughs,2002.0,Running with Scissors,3.7,13569,27249,78405,105786,81379
8908,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,4.01,7680,19887,65570,121537,130475
17212231,Dan Brown,2013.0,Inferno,3.8,7261,26077,89237,128374,94611
47281,Lois Lowry,1989.0,Number the Stars,4.11,3797,12794,63919,123296,138559
13145,James Patterson,1993.0,Along Came a Spider,4.08,4281,10929,61630,118236,122955
10614,Stephen King,1987.0,Misery,4.11,4302,12725,64835,128990,141351
66559,Gillian Flynn,2006.0,Sharp Objects,3.92,4988,17566,81036,147558,103690
2839,Katherine Paterson,1977.0,Bridge to Terabithia,3.98,8287,20081,74409,119504,131193
30183,"P.C. Cast, Kristin Cast",2007.0,Marked,3.79,21547,34170,81486,97982,135835
36072,Stephen R. Covey,1989.0,The 7 Habits of Highly Effective People,4.05,9038,17041,61036,109359,137410
1622,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,3.94,5598,20498,84388,130051,120975
4588,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,3.97,8847,20556,61303,109008,119402
11387515,R.J. Palacio,2012.0,Wonder,4.43,4504,7833,34567,105977,224910
233093,Dr. Seuss,1957.0,The Cat in the Hat,4.15,6179,14497,57850,85944,152712
11235712,Marissa Meyer,2012.0,Cinder,4.15,12154,18256,66180,150914,206642
16160797,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,3.83,9729,20151,79290,138955,92370
6068551,Maggie Stiefvater,2009.0,Shiver,3.78,17815,35108,86129,105099,126660
662,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,3.68,30901,27442,53762,78744,105796
49436,"Greg Mortenson, David Oliver Relin",2006.0,Three Cups of Tea ,3.64,14371,27844,77127,97820,71358
13023,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,,4.03,7467,18101,70170,109730,137803
1232,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,4.24,4789,11769,42214,101612,157170
7631105,James Dashner,2010.0,The Scorch Trials,3.93,5525,21370,79458,124458,115496
4865,Dale Carnegie,1936.0,How to Win Friends and Influence People,4.13,6734,13880,50529,94743,139551
480479,Frances Mayes,1996.0,Under the Tuscan Sun,3.72,12008,22882,74910,93439,78597
19486412,Liane Moriarty,2014.0,Big Little Lies,4.2,3775,7865,49115,159494,151184
24337,Gail Carson Levine,1997.0,Ella Enchanted,3.97,6619,20066,80272,110568,128224
3876,Ernest Hemingway,1926.0,The Sun Also Rises,3.83,9602,23682,70004,105785,94044
14891,Betty  Smith,1943.0,A Tree Grows In Brooklyn ,4.24,3693,9667,43734,103879,148027
13148,James Patterson,1995.0,Kiss the Girls,3.93,10518,14558,58296,95980,99764
21853621,Kristin Hannah,2015.0,The Nightingale,4.54,2829,4913,20612,82844,215817
6334,Kazuo Ishiguro,2005.0,Never Let Me Go,3.8,9081,26036,78203,118163,92144
366522,Cecelia Ahern,2003.0,"PS, I Love You",4.01,7027,16336,56951,90089,113010
12873,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,4.2,4565,10900,49263,112768,152100
18373,Daniel Keyes,1966.0,Flowers for Algernon,4.07,4223,14882,65106,122462,129526
6952,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989.0,Como agua para chocolate,3.94,8887,15941,60147,100011,100483
1103,Lisa See,2005.0,Snow Flower and the Secret Fan,4.05,3268,11286,56005,116178,103923
22034,"Mario Puzo, Robert Thompson, Peter Bart",1969.0,The Godfather,4.36,2930,5985,30009,83730,147732
49750,John Green,2006.0,An Abundance of Katherines,3.63,14225,36867,98115,111740,86477
29579,Isaac Asimov,1951.0,Foundation,4.13,7697,12471,47251,97583,132586
15783514,Neil Gaiman,2013.0,The Ocean at the End of the Lane,3.99,7038,18089,64714,127761,118649
30118,Shel Silverstein,1981.0,A Light in the Attic,4.34,3585,7593,38923,85051,169362
